	gold	prediction	proportion
97	ʊ	j	0.0019
98	uː	ɔ	0.0019
99	r	rː	0.0019
100	w	b	0.0019
101	bː	b	0.0019
102	g	-	0.0019
103	n	ŋ	0.0019
104	m	ɛ	0.0019
105	rː	r	0.0019
106	m	s	0.0019
107	s	k	0.0019
108	-	aː	0.0019
109	k	s	0.0019
110	t	d	0.0019
111	eː	aɪ	0.0019
112	oː	ʊ	0.0015
113	j	t	0.0015
114	mː	m	0.0015
115	iː	aː	0.0015
116	b	-	0.0015
117	ʊː	ʊ	0.0015
118	t	r	0.0015
119	p	-	0.0015
120	p	b	0.0015
121	r	l	0.0015
122	ɪ	ʊ	0.0015
123	a	ɪ	0.0015
124	m	r	0.0015
125	s	t	0.0015
126	ʊ	w	0.0015
127	-	d	0.0015
128	r	k	0.0011
129	n	l	0.0011
130	h	k	0.0011
131	r	ɛ	0.0011
132	n	nː	0.0011
133	t	n	0.0011
134	y	-	0.0011
135	k	p	0.0011
136	s	n	0.0011
137	d	t	0.0011
138	dː	d	0.0011
139	l	j	0.0011
140	l	ʊ	0.0011
141	d	s	0.0011
142	r	s	0.0011
143	ɛ	n	0.0011
144	a	r	0.0011
145	m	mː	0.0011
146	ʊ	r	0.0011
147	ʊ	iː	0.0011
148	a	j	0.0011
149	r	aː	0.0011
150	l	n	0.0011
151	a	ʊ	0.0011
152	j	r	0.0011
153	k	kʷ	0.0011
154	d	-	0.0011
155	iː	j	0.0011
156	ɪ	l	0.0011
157	aʊ	oː	0.0011
158	k	ɪ	0.0011
159	g	j	0.0011
160	w	j	0.0008
161	g	d	0.0008
162	-	ɔ	0.0008
163	r	d	0.0008
164	-	oː	0.0008
165	m	k	0.0008
166	k	ŋ	0.0008
167	oː	-	0.0008
168	n	t	0.0008
169	aɪ	ɪ	0.0008
170	d	r	0.0008
171	a	n	0.0008
172	ŋ	m	0.0008
173	ɔː	ɔ	0.0008
174	z	s	0.0008
175	-	lː	0.0008
176	ɪ	r	0.0008
177	-	l	0.0008
178	k	n	0.0008
179	eː	a	0.0008
180	ɔ	ɛ	0.0008
181	ʊ	ɪ	0.0008
182	h	ɛ	0.0008
183	eː	ɛu	0.0008
184	k	tʰ	0.0008
185	h	ɪ	0.0008
186	ɛ	k	0.0008
187	j	ɪ	0.0008
188	aʊ	a	0.0008
189	s	ɛ	0.0008
190	p	r	0.0008
191	r	a	0.0008
192	a	t	0.0008
193	ɛu	a	0.0008
194	h	ɔ	0.0008
195	k	j	0.0008
196	g	l	0.0008
197	aɪ	-	0.0008
198	j	ɛ	0.0008
199	-	ŋ	0.0008
200	eː	-	0.0008
201	r	t	0.0008
202	ɪ	y	0.0008
203	iː	k	0.0008
204	p	pː	0.0008
205	k	ɛ	0.0008
206	n	s	0.0008
207	g	m	0.0008
208	-	b	0.0008
209	r	j	0.0008
210	ɪ	g	0.0008
211	mː	b	0.0008
212	b	k	0.0008
213	iː	oː	0.0008
214	aː	ʊ	0.0008
215	m	j	0.0008
216	g	k	0.0008
217	j	aː	0.0008
218	g	kʰ	0.0004
219	g	kː	0.0004
220	m	l	0.0004
221	t	p	0.0004
222	ɔ	eː	0.0004
223	l	m	0.0004
224	n	p	0.0004
225	eːa	ɛu	0.0004
226	w	g	0.0004
227	-	uː	0.0004
228	ɔ	uː	0.0004
229	-	ʊː	0.0004
230	m	pː	0.0004
231	m	g	0.0004
232	ɪ	aː	0.0004
233	yː	ɪ	0.0004
234	a	ɔ	0.0004
235	w	r	0.0004
236	ɛ	oː	0.0004
237	ʊ	s	0.0004
238	eː	t	0.0004
239	ɛ	b	0.0004
240	b	r	0.0004
241	r	ɛu	0.0004
242	aɪ	ʊ	0.0004
243	aː	oː	0.0004
244	ɛu	uː	0.0004
245	oː	r	0.0004
246	ɪ	h	0.0004
247	p	s	0.0004
248	p	ɪ	0.0004
249	r	m	0.0004
250	oː	p	0.0004
251	t	m	0.0004
252	w	t	0.0004
253	rː	ɛ	0.0004
254	g	ɪ	0.0004
255	ɛu	j	0.0004
256	r	oː	0.0004
257	nː	ŋ	0.0004
258	f	fː	0.0004
259	ɛ	w	0.0004
260	sː	k	0.0004
261	r	w	0.0004
262	fː	f	0.0004
263	t	l	0.0004
264	kʷ	gʷ	0.0004
265	ɪ	ɔ	0.0004
266	ɔ	rː	0.0004
267	rː	ɛu	0.0004
268	uː	d	0.0004
269	d	ɪ	0.0004
270	ɪ	aɪ	0.0004
271	j	l	0.0004
272	sː	-	0.0004
273	ɔ	r	0.0004
274	r	iː	0.0004
275	ɪ	d	0.0004
276	zː	j	0.0004
277	h	g	0.0004
278	d	j	0.0004
279	l	w	0.0004
280	b	l	0.0004
281	iː	a	0.0004
282	eːa	a	0.0004
283	b	ɛ	0.0004
284	aː	j	0.0004
285	t	j	0.0004
286	lː	aː	0.0004
287	p	w	0.0004
288	g	ɛ	0.0004
289	r	g	0.0004
290	ɪ	a	0.0004
291	gː	g	0.0004
292	pʰ	fː	0.0004
293	eː	oː	0.0004
294	g	lː	0.0004
295	lː	d	0.0004
296	-	eː	0.0004
297	tː	k	0.0004
298	h	n	0.0004
299	k	sː	0.0004
300	l	ŋ	0.0004
301	aː	aɪ	0.0004
302	oː	t	0.0004
303	ʊː	ɛ	0.0004
304	kʷ	g	0.0004
305	uː	ɪ	0.0004
306	aʊ	uː	0.0004
307	k	tː	0.0004
308	a	aɪ	0.0004
309	ɪ	t	0.0004
310	s	eː	0.0004
311	m	t	0.0004
312	m	iː	0.0004
313	j	m	0.0004
314	gː	r	0.0004
315	ɛu	eː	0.0004
316	aː	aʊ	0.0004
317	m	ŋ	0.0004
318	ʊ	t	0.0004
319	eː	r	0.0004
320	a	g	0.0004
321	j	d	0.0004
322	oː	ɛ	0.0004
323	k	kʰ	0.0004
324	s	l	0.0004
325	j	a	0.0004
326	uː	oː	0.0004
327	ɛ	ɔ	0.0004
328	aʊ	-	0.0004
329	t	g	0.0004
330	n	aː	0.0004
331	eː	d	0.0004
332	k	r	0.0004
333	gʷ	g	0.0004
334	g	t	0.0004
335	ɪ	uː	0.0004
336	ɛu	ɔ	0.0004
337	a	k	0.0004
338	aː	ɛu	0.0004
339	n	rː	0.0004
340	y	ɛ	0.0004
341	j	iː	0.0004
342	ʊ	m	0.0004
343	d	l	0.0004
344	iː	eː	0.0004
345	y	ʊ	0.0004
346	zː	d	0.0004
347	a	m	0.0004
348	m	ɔ	0.0004
349	b	m	0.0004
350	r	b	0.0004
351	p	k	0.0004
352	uː	r	0.0004
353	r	ʊ	0.0004
354	m	nː	0.0004
355	t	sː	0.0004
356	w	p	0.0004
357	aː	n	0.0004
358	n	j	0.0004
359	s	r	0.0004
360	l	b	0.0004
361	t	tː	0.0004
362	f	pʰ	0.0004
363	ʊ	l	0.0004
364	l	aː	0.0004
365	a	s	0.0004
366	n	ʊ	0.0004
367	j	oː	0.0004
368	ɛ	y	0.0004
369	d	sː	0.0004
370	j	ɛu	0.0004
371	g	gː	0.0004
372	s	g	0.0004
373	aː	r	0.0004
374	n	ɛ	0.0004
