	gold	prediction	proportion
277	ɛ̠	a̠	0.0008
278	m̩	m	0.0008
279	ɨ̠	ɨ	0.0008
280	i	i̠	0.0008
281	v	pʰ	0.0008
282	n̩	n	0.0008
283	ɨ	o	0.0008
284	y	i	0.0008
285	dz	dʒ	0.0008
286	u	o̠	0.0008
287	e̠	ɛ	0.0008
288	ˀn	n	0.0008
289	nː	n	0.0008
290	sː	s	0.0008
291	l	-	0.0008
292	s	k	0.0007
293	g	-	0.0007
294	ʊ	a	0.0007
295	ɪ	j	0.0007
296	ɛ	aː	0.0007
297	ɛ	aɪ	0.0007
298	pʰ	f	0.0007
299	aː	-	0.0007
300	eː	ɪ	0.0007
301	-	ɪ	0.0007
302	r	n	0.0007
303	lː	l	0.0007
304	s	sː	0.0007
305	k	g	0.0007
306	y	-	0.0006
307	aʊ	ɔ	0.0006
308	j	g	0.0006
309	y	iː	0.0006
310	-	ʊ	0.0006
311	eː	aː	0.0006
312	m	a	0.0006
313	kː	k	0.0006
314	s	g	0.0005
315	kʷ	k	0.0005
316	ɛu	ʊ	0.0005
317	kʰ	k	0.0005
318	eː	iː	0.0005
319	k	kː	0.0005
320	o̠	y	0.0004
321	pʰ	ˀv	0.0004
322	³³	³	0.0004
323	ɨ	a̠	0.0004
324	ɨ̠	u	0.0004
325	tʃ	tʃʰ	0.0004
326	ɛ	a̠	0.0004
327	i	ŋ	0.0004
328	i̠	o	0.0004
329	b	ʒ	0.0004
330	ɛ	i̠	0.0004
331	e	ɨ	0.0004
332	j	ɲ	0.0004
333	e	j	0.0004
334	s	h	0.0004
335	i̠	ɨ	0.0004
336	tsʰ	tʃʰ	0.0004
337	o	ɨ	0.0004
338	e̠	u	0.0004
339	e̠	i	0.0004
340	ŋ	e̠	0.0004
341	y	u	0.0004
342	u̠	i̠	0.0004
343	tʃʰ	ts	0.0004
344	j	tʃ	0.0004
345	ʃ	k	0.0004
346	k	tʃ	0.0004
347	h	ʃ	0.0004
348	v	b	0.0004
349	o	y	0.0004
350	e̠	j	0.0004
351	ɛ	o	0.0004
352	ɨ	ɨ̠	0.0004
353	d	tsʰ	0.0004
354	ɣ	s	0.0004
355	u	e	0.0004
356	³	ŋ	0.0004
357	ɨ	ɿ	0.0004
358	²¹	²	0.0004
359	a	e	0.0004
360	tʃʰ	dʒ	0.0004
361	tʰ	tʃʰ	0.0004
362	y̠	ɨ	0.0004
363	y̠	j	0.0004
364	ɛ	ɿ	0.0004
365	n	ɲ	0.0004
366	i̠	e̠	0.0004
367	ɨ	o̠	0.0004
368	dʒ	d	0.0004
369	ɛ	u	0.0004
370	m	ˀm	0.0004
371	dz	k	0.0004
372	ɨ̠	i	0.0004
373	ɨ	u	0.0004
374	h	s	0.0004
375	ɛ	e̠	0.0004
376	i	y	0.0004
377	ɛ̠	o	0.0004
378	i̠	ɿ	0.0004
379	ɲ	n	0.0004
380	ˀx	h	0.0004
381	y	e	0.0004
382	y	e̠	0.0004
383	ɣ	x	0.0004
384	u	ɨ̠	0.0004
385	b	pʰ	0.0004
386	ɣ	h	0.0004
387	a̠	e̠	0.0004
388	k	tsʰ	0.0004
389	i̠	ɨ̠	0.0004
390	ʒ	s	0.0004
391	o	ɛ	0.0004
392	dz	ts	0.0004
393	y	o̠	0.0004
394	l	ˀl	0.0004
395	o̠	e̠	0.0004
396	u	y	0.0004
397	g	ɣ	0.0004
398	ɿ	u	0.0004
399	tsʰ	s	0.0004
400	g	dz	0.0004
401	u̠	u	0.0004
402	e̠	ŋ	0.0004
403	a	e̠	0.0004
404	dʒ	k	0.0004
405	e̠	-	0.0004
406	ˀŋ	ɲ	0.0004
407	j	i̠	0.0004
408	tʃ	tsʰ	0.0004
409	e̠	e	0.0004
410	g	tsʰ	0.0004
411	ɛ	r	0.0004
412	tː	t	0.0004
413	pː	p	0.0004
414	ɛ	j	0.0004
415	l	r	0.0004
416	aː	eː	0.0004
417	ɛu	ɛ	0.0004
418	aː	ɛ	0.0004
419	-	iː	0.0004
420	ɛ	ʊ	0.0004
421	y	ɪ	0.0004
422	t	s	0.0003
423	iː	-	0.0003
424	ʊ	j	0.0003
425	uː	ɔ	0.0003
426	r	rː	0.0003
427	w	b	0.0003
428	bː	b	0.0003
429	m	ɛ	0.0003
430	rː	r	0.0003
431	m	s	0.0003
432	-	aː	0.0003
433	k	s	0.0003
434	eː	aɪ	0.0003
435	oː	ʊ	0.0002
436	j	t	0.0002
437	mː	m	0.0002
438	iː	aː	0.0002
439	b	-	0.0002
440	ʊː	ʊ	0.0002
441	t	r	0.0002
442	p	-	0.0002
443	r	l	0.0002
444	ɪ	ʊ	0.0002
445	a	ɪ	0.0002
446	m	r	0.0002
447	s	t	0.0002
448	ʊ	w	0.0002
449	-	d	0.0002
450	r	k	0.0002
451	n	l	0.0002
452	h	k	0.0002
453	r	ɛ	0.0002
454	n	nː	0.0002
455	t	n	0.0002
456	k	p	0.0002
457	s	n	0.0002
458	d	t	0.0002
459	dː	d	0.0002
460	l	j	0.0002
461	l	ʊ	0.0002
462	d	s	0.0002
463	r	s	0.0002
464	ɛ	n	0.0002
465	m	mː	0.0002
466	ʊ	r	0.0002
467	ʊ	iː	0.0002
468	r	aː	0.0002
469	l	n	0.0002
470	a	ʊ	0.0002
471	k	kʷ	0.0002
472	d	-	0.0002
473	iː	j	0.0002
474	ɪ	l	0.0002
475	aʊ	oː	0.0002
476	k	ɪ	0.0002
477	g	j	0.0002
478	g	d	0.0001
479	r	d	0.0001
480	-	oː	0.0001
481	m	k	0.0001
482	oː	-	0.0001
483	n	t	0.0001
484	aɪ	ɪ	0.0001
485	d	r	0.0001
486	a	n	0.0001
487	ɔː	ɔ	0.0001
488	z	s	0.0001
489	-	lː	0.0001
490	ɪ	r	0.0001
491	-	l	0.0001
492	eː	a	0.0001
493	ɔ	ɛ	0.0001
494	ʊ	ɪ	0.0001
495	h	ɛ	0.0001
496	eː	ɛu	0.0001
497	k	tʰ	0.0001
498	h	ɪ	0.0001
499	ɛ	k	0.0001
500	j	ɪ	0.0001
501	aʊ	a	0.0001
502	s	ɛ	0.0001
503	p	r	0.0001
504	r	a	0.0001
505	a	t	0.0001
506	ɛu	a	0.0001
507	h	ɔ	0.0001
508	k	j	0.0001
509	g	l	0.0001
510	aɪ	-	0.0001
511	j	ɛ	0.0001
512	eː	-	0.0001
513	r	t	0.0001
514	ɪ	y	0.0001
515	iː	k	0.0001
516	p	pː	0.0001
517	k	ɛ	0.0001
518	n	s	0.0001
519	g	m	0.0001
520	-	b	0.0001
521	ɪ	g	0.0001
522	mː	b	0.0001
523	b	k	0.0001
524	iː	oː	0.0001
525	aː	ʊ	0.0001
526	m	j	0.0001
527	j	aː	0.0001
528	g	kʰ	0.0001
529	g	kː	0.0001
530	m	l	0.0001
531	ɔ	eː	0.0001
532	l	m	0.0001
533	n	p	0.0001
534	eːa	ɛu	0.0001
535	w	g	0.0001
536	-	uː	0.0001
537	ɔ	uː	0.0001
538	-	ʊː	0.0001
539	m	pː	0.0001
540	m	g	0.0001
541	ɪ	aː	0.0001
542	yː	ɪ	0.0001
543	ɛ	oː	0.0001
544	ʊ	s	0.0001
545	eː	t	0.0001
546	ɛ	b	0.0001
547	b	r	0.0001
548	r	ɛu	0.0001
549	aɪ	ʊ	0.0001
550	aː	oː	0.0001
551	ɛu	uː	0.0001
552	oː	r	0.0001
553	ɪ	h	0.0001
554	p	s	0.0001
555	p	ɪ	0.0001
556	r	m	0.0001
557	oː	p	0.0001
558	t	m	0.0001
559	w	t	0.0001
560	rː	ɛ	0.0001
561	g	ɪ	0.0001
562	ɛu	j	0.0001
563	r	oː	0.0001
564	nː	ŋ	0.0001
565	f	fː	0.0001
566	ɛ	w	0.0001
567	sː	k	0.0001
568	r	w	0.0001
569	fː	f	0.0001
570	t	l	0.0001
571	kʷ	gʷ	0.0001
572	ɪ	ɔ	0.0001
573	ɔ	rː	0.0001
574	rː	ɛu	0.0001
575	uː	d	0.0001
576	d	ɪ	0.0001
577	ɪ	aɪ	0.0001
578	j	l	0.0001
579	sː	-	0.0001
580	ɔ	r	0.0001
581	r	iː	0.0001
582	ɪ	d	0.0001
583	zː	j	0.0001
584	h	g	0.0001
585	d	j	0.0001
586	b	l	0.0001
587	iː	a	0.0001
588	eːa	a	0.0001
589	b	ɛ	0.0001
590	aː	j	0.0001
591	t	j	0.0001
592	lː	aː	0.0001
593	p	w	0.0001
594	g	ɛ	0.0001
595	r	g	0.0001
596	ɪ	a	0.0001
597	gː	g	0.0001
598	pʰ	fː	0.0001
599	eː	oː	0.0001
600	g	lː	0.0001
601	lː	d	0.0001
602	-	eː	0.0001
603	tː	k	0.0001
604	h	n	0.0001
605	k	sː	0.0001
606	l	ŋ	0.0001
607	aː	aɪ	0.0001
608	oː	t	0.0001
609	ʊː	ɛ	0.0001
610	kʷ	g	0.0001
611	uː	ɪ	0.0001
612	aʊ	uː	0.0001
613	k	tː	0.0001
614	a	aɪ	0.0001
615	ɪ	t	0.0001
616	s	eː	0.0001
617	m	t	0.0001
618	m	iː	0.0001
619	j	m	0.0001
620	gː	r	0.0001
621	ɛu	eː	0.0001
622	aː	aʊ	0.0001
623	ʊ	t	0.0001
624	eː	r	0.0001
625	a	g	0.0001
626	j	d	0.0001
627	oː	ɛ	0.0001
628	k	kʰ	0.0001
629	s	l	0.0001
630	uː	oː	0.0001
631	ɛ	ɔ	0.0001
632	aʊ	-	0.0001
633	t	g	0.0001
634	n	aː	0.0001
635	eː	d	0.0001
636	k	r	0.0001
637	gʷ	g	0.0001
638	g	t	0.0001
639	ɪ	uː	0.0001
640	ɛu	ɔ	0.0001
641	a	k	0.0001
642	aː	ɛu	0.0001
643	n	rː	0.0001
644	y	ɛ	0.0001
645	j	iː	0.0001
646	ʊ	m	0.0001
647	d	l	0.0001
648	iː	eː	0.0001
649	y	ʊ	0.0001
650	zː	d	0.0001
651	a	m	0.0001
652	m	ɔ	0.0001
653	b	m	0.0001
654	r	b	0.0001
655	p	k	0.0001
656	uː	r	0.0001
657	r	ʊ	0.0001
658	m	nː	0.0001
659	t	sː	0.0001
660	w	p	0.0001
661	aː	n	0.0001
662	s	r	0.0001
663	l	b	0.0001
664	t	tː	0.0001
665	f	pʰ	0.0001
666	ʊ	l	0.0001
667	l	aː	0.0001
668	a	s	0.0001
669	n	ʊ	0.0001
670	j	oː	0.0001
671	ɛ	y	0.0001
672	d	sː	0.0001
673	j	ɛu	0.0001
674	g	gː	0.0001
675	aː	r	0.0001
676	n	ɛ	0.0001
