	gold	prediction	proportion
93	tʃʰ	tsʰ	0.002
94	u	i̠	0.002
95	y	u	0.002
96	t	ts	0.002
97	e̠	u	0.002
98	ɛ̠	e̠	0.002
99	s	g	0.002
100	ɲ	ˀn	0.002
101	u	ɨ	0.002
102	ŋ	²	0.002
103	a	o̠	0.002
104	l	ˀl	0.002
105	o̠	a	0.002
106	a	i	0.002
107	y	o	0.002
108	ɣ	s	0.002
109	u	e	0.002
110	i	y	0.002
111	ɲ	n	0.002
112	e	i̠	0.002
113	y̠	o	0.002
114	i̠	e̠	0.002
115	e̠	i̠	0.002
116	e	-	0.002
117	ˀm	m	0.002
118	ɛ	ɛ̠	0.002
119	u	a	0.002
120	a	u	0.002
121	x	ɣ	0.002
122	e	e̠	0.002
123	tsʰ	tʃʰ	0.002
124	ɿ	ɨ	0.002
125	ɣ	g	0.002
126	i̠	i	0.002
127	v	pʰ	0.002
128	m	-	0.002
129	tʰ	t	0.002
130	ʊ	ɔ	0.002
131	ɪ	j	0.0016
132	-	k	0.0016
133	ʊ	oː	0.0016
134	-	aː	0.0016
135	aː	ɛ	0.0013
136	l	lː	0.0013
137	kʰ	k	0.0013
138	-	a	0.0013
139	t	-	0.0013
140	n	-	0.001
141	ɔ	ʊ	0.001
142	w	-	0.001
143	k	-	0.001
144	ʊ	-	0.001
145	ɪ	eː	0.001
146	ɛ	aː	0.001
147	aː	-	0.001
148	-	s	0.001
149	uː	ɔ	0.001
150	j	ɪ	0.001
151	m	r	0.0007
152	eː	aɪ	0.0007
153	aɪ	eː	0.0007
154	y	ɪ	0.0007
155	ɪ	b	0.0007
156	-	l	0.0007
157	-	ɪ	0.0007
158	ɪ	aː	0.0007
159	lː	l	0.0007
160	w	b	0.0007
161	eː	ɪ	0.0007
162	ɛ	aɪ	0.0007
163	b	w	0.0007
164	sː	r	0.0007
165	-	t	0.0007
166	s	m	0.0007
167	s	k	0.0007
168	-	oː	0.0007
169	-	ʊ	0.0007
170	g	j	0.0007
171	sː	s	0.0007
172	ɪ	ʊ	0.0007
173	s	r	0.0007
174	r	n	0.0007
175	y	iː	0.0007
176	k	kː	0.0007
177	m	mː	0.0003
178	n	r	0.0003
179	w	ʊː	0.0003
180	lː	r	0.0003
181	-	eː	0.0003
182	-	d	0.0003
183	d	r	0.0003
184	a	ɛ	0.0003
185	k	p	0.0003
186	p	t	0.0003
187	m	j	0.0003
188	aʊ	oː	0.0003
189	eː	-	0.0003
190	r	j	0.0003
191	ɛ	iː	0.0003
192	a	ʊ	0.0003
193	g	kː	0.0003
194	j	d	0.0003
195	ɛ	j	0.0003
196	ɛ	t	0.0003
197	k	ɪ	0.0003
198	p	pː	0.0003
199	aː	eː	0.0003
200	r	ɛ	0.0003
201	ɛ	r	0.0003
202	ɔ	aʊ	0.0003
203	n	nː	0.0003
204	-	w	0.0003
205	r	t	0.0003
206	t	w	0.0003
207	uː	ɪ	0.0003
208	ʊː	ɛu	0.0003
209	kʷ	k	0.0003
210	b	m	0.0003
211	r	b	0.0003
212	k	s	0.0003
213	m	k	0.0003
214	n	t	0.0003
215	oː	ɪ	0.0003
216	ɛ	ʊ	0.0003
217	m	n	0.0003
218	p	-	0.0003
219	m	s	0.0003
220	z	s	0.0003
221	aʊ	ɔ	0.0003
222	d	n	0.0003
223	kː	k	0.0003
224	n	m	0.0003
225	j	t	0.0003
226	p	b	0.0003
227	eː	a	0.0003
228	nː	n	0.0003
229	ɔ	f	0.0003
230	r	h	0.0003
231	j	r	0.0003
232	oː	-	0.0003
233	iː	a	0.0003
234	sː	-	0.0003
235	oː	r	0.0003
236	d	g	0.0003
237	eːa	j	0.0003
238	m	a	0.0003
239	n	ŋ	0.0003
240	rː	r	0.0003
241	ɛu	ɔ	0.0003
242	s	sː	0.0003
243	aː	ʊ	0.0003
244	k	ɛ	0.0003
245	t	k	0.0003
246	iː	ʊ	0.0003
247	b	-	0.0003
248	ɪ	-	0.0003
249	lː	n	0.0003
250	d	ɛ	0.0003
251	r	m	0.0003
252	b	h	0.0003
253	oː	ʊ	0.0003
254	mː	m	0.0003
255	k	kʷ	0.0003
256	k	t	0.0003
257	tː	k	0.0003
258	ɪ	ɔ	0.0003
259	ɔ	d	0.0003
260	r	ɪ	0.0003
261	aː	j	0.0003
262	ʊ	d	0.0003
263	ɔ	uː	0.0003
264	g	b	0.0003
265	iː	oː	0.0003
266	g	-	0.0003
267	r	-	0.0003
268	uː	t	0.0003
269	g	l	0.0003
270	ʊ	a	0.0003
271	gː	r	0.0003
272	iː	j	0.0003
273	bː	b	0.0003
274	eː	aː	0.0003
275	ʊ	t	0.0003
276	s	-	0.0003
